nodo,lat,lon,adyacentes
1273463089,-12.2213183,-76.931332,"5436376566:100.76:-12.2221019:-76.9308663,1273553285:48.92:-12.2210961:-76.9309435,1709508305:50.34:-12.221547:-76.9317318"
1273463163,-12.2250184,-76.9639101,"3717321694:112.21:-12.2249576:-76.9628794,1273675680:88.53:-12.2250731:-76.9647228,1273517979:340.18:-12.222496:-76.9656806,3717320344:131.32:-12.2259441:-76.96316"
1273463267,-12.2089399,-76.9497132,"1273535368:49.01:-12.2091646:-76.9501011,1273879319:50.82:-12.2093335:-76.9494755,1273696242:48.97:-12.2085607:-76.9499423"
1273463343,-12.2226428,-76.9289551,"1663845147:99.56:-12.2221785:-76.9281718,10674115177:10.67:-12.2227257:-76.9289056,4149786023:9.58:-12.2225684:-76.9289996"
1273464172,-12.2154367,-76.9452706,"1572825715:51.09:-12.215204:-76.9448652,1273741225:50.28:-12.2158267:-76.9450364,1572825519:48.0:-12.2150649:-76.945495"
1273466347,-12.1935728,-76.9474782,"1657677585:50.12:-12.19334:-76.9470833,5432464014:51.2:-12.1931773:-76.9477195,1273845236:49.17:-12.1939526:-76.9472465"
1273467095,-12.2350936,-76.9377576,"1273745113:102.14:-12.2356366:-76.9369995,1710932473:52.62:-12.2347077:-76.9374773"
1273467169,-12.2027437,-76.9464167,"1273816519:100.28:-12.2035214:-76.9459495,10684186079:7.08:-12.2027767:-76.9464724"
1273467297,-12.2387688,-76.917323,"1713667432:53.3:-12.2391837:-76.9170773,5366324957:48.01:-12.2383951:-76.9175443,1713667429:39.93:-12.2389473:-76.9176418"
1273467372,-12.1917742,-76.9452775,"1657677558:48.69:-12.1921518:-76.9450506,1273491358:55.58:-12.1913431:-76.9455364,1657677557:48.33:-12.1919994:-76.9456578"
1273467376,-12.2332433,-76.921465,"1273745428:87.02:-12.2336409:-76.9221547,1273656559:81.84:-12.2328693:-76.9208164,1710500129:53.45:-12.2336575:-76.9212154,4370545045:50.72:-12.2328502:-76.9217018"
1273468872,-12.2077059,-76.9493759,"1273901876:49.1:-12.2080851:-76.9491444,1657677885:50.38:-12.207476:-76.9489764,4244712791:51.85:-12.2073054:-76.9496203"
1273469568,-12.2250155,-76.9340938,"4370536205:49.79:-12.2246285:-76.9343243,5436376571:48.74:-12.2247907:-76.9337088,4149786034:51.71:-12.2254184:-76.9338561"
1273469578,-12.2262077,-76.9361379,"1273877467:99.73:-12.2254338:-76.9366017,1273731041:51.72:-12.225977:-76.9357246,1711900133:47.87:-12.2264213:-76.9365203"
1273470828,-12.2292348,-76.9170784,"4116994972:41.75:-12.2290455:-76.9167466,1754049904:42.4:-12.2295631:-76.9168799,1752177876:34.85:-12.2289648:-76.9172412"
1273470841,-12.2122436,-76.9379494,"1273938845:51.17:-12.211848:-76.93819,1273935394:100.92:-12.2127076:-76.9387475,1572825711:48.49:-12.2120242:-76.9375638"
1273470967,-12.1924108,-76.9401693,"1674210838:58.38:-12.1926682:-76.9406375,1273980489:46.84:-12.1922043:-76.9397937,1273940944:116.22:-12.1933175:-76.9396374"
1273471266,-12.2366252,-76.9388558,"4335723246:132.26:-12.2359185:-76.9398348,4335726757:55.98:-12.2362124:-76.938561,3725402760:16.38:-12.236746:-76.938942"
1273471550,-12.2057905,-76.9396143,"1572825489:50.05:-12.2060189:-76.9400111,4149643651:100.29:-12.2050149:-76.9400853,4370478283:51.13:-12.2055588:-76.9392079"
1273472091,-12.2013912,-76.942258,"3895231067:50.8:-12.2016244:-76.9426599,1273513910:50.09:-12.2017787:-76.942023,4370478157:52.55:-12.2009846:-76.9425045"
1273472458,-12.2159802,-76.944399,"1572825715:100.08:-12.215204:-76.9448652,1572825426:100.04:-12.2167561:-76.9439331,5433789589:49.21:-12.2157556:-76.9440088,1572825425:51.11:-12.2162135:-76.9448042"
1273474002,-12.2323999,-76.914328,"1273863009:42.95:-12.2325406:-76.9139599,1273596866:46.21:-12.2322407:-76.9147208,1273980908:100.49:-12.232978:-76.9150107"
1273474808,-12.196864,-76.9594191,"1273754160:60.65:-12.1971387:-76.9599012,5446209336:211.0:-12.1983544:-76.9591982,1273798148:53.91:-12.1964401:-76.9596598"
1273475438,-12.2006646,-76.9476617,"1273608143:98.87:-12.2014327:-76.9472034,1273692099:50.7:-12.2008992:-76.9480617"
1273480364,-12.2244705,-76.9322215,"4370536199:96.26:-12.2249168:-76.9329805,5436376570:52.31:-12.2240641:-76.932464"
1273481480,-12.2107576,-76.9437376,"5433743799:52.41:-12.2111642:-76.9434936,3952895405:50.68:-12.2105268:-76.9433355"
1273481915,-12.2460052,-76.9249591,"1412475055:50.63:-12.2457791:-76.9245547,1412475051:53.34:-12.2462427:-76.9253856,4209224206:186.64:-12.2445526:-76.9258197,1711015558:91.93:-12.2467221:-76.9245377"
1273482808,-12.2302357,-76.9309561,"1709508549:48.39:-12.2304544:-76.9313411,10671883104:9.12:-12.2301671:-76.9310021"
1273483183,-12.2332974,-76.9390087,"11036965299:16.56:-12.2334277:-76.9389349,1710920394:47.86:-12.232924:-76.9392278,4370536335:103.02:-12.2328274:-76.9381917,3762109477:48.65:-12.2335194:-76.9393945"
1273483513,-12.205665,-76.9467864,"1572825481:49.12:-12.205436:-76.9463999,3749287640:7.34:-12.2056082:-76.9468208,5432479563:51.51:-12.2060641:-76.9465457"
1273483777,-12.1960319,-76.9599,"1674228890:156.66:-12.1948193:-76.9606338,5446209344:55.09:-12.1962793:-76.9603392,1273798148:52.36:-12.1964401:-76.9596598"
1273484259,-12.2206679,-76.9695451,"1273868083:97.75:-12.2211143:-76.97032,3757621942:110.9:-12.2201708:-76.9686604,1273824446:404.13:-12.2235824:-76.9673239,4060113076:246.02:-12.2188497:-76.970835"
1273486172,-12.2295434,-76.9118093,"1273691233:49.92:-12.2299613:-76.9119772,1572589310:48.02:-12.2291408:-76.9116495,1273880244:91.03:-12.2298417:-76.9110292,1273879871:95.95:-12.229229:-76.9126315"
1273487180,-12.2166437,-76.9308658,"4149749695:99.87:-12.2161943:-76.9300702,1666014132:49.09:-12.2170255:-76.9306391"
1273487455,-12.2344957,-76.9168497,"1572591482:42.16:-12.2341692:-76.917047,1273803656:119.58:-12.2339461:-76.9159039"
1273487684,-12.2239338,-76.9358247,"1273609111:47.8:-12.2241524:-76.9362034,4638574200:50.51:-12.2243251:-76.9355886,1709508362:59.91:-12.2234697:-76.9361047"
1273488825,-12.2293484,-76.9424298,"1273961462:49.48:-12.2297336:-76.9422019,1273589857:49.17:-12.2289699:-76.9426638,5436376593:52.34:-12.2295993:-76.9428373"
1273491203,-12.2210067,-76.924343,"5438589282:42.55:-12.2208105:-76.9240069,1754044366:52.54:-12.2212388:-76.9247641,4059152187:164.28:-12.2222808:-76.9235777,3766535996:148.42:-12.21985:-76.9250245"
1273491358,-12.1913431,-76.9455364,"1273467372:55.58:-12.1917742:-76.9452775,4367139253:49.33:-12.1911157:-76.9451467"
1273491679,-12.2232939,-76.9329235,"5436376569:48.08:-12.2235172:-76.9333024,4370536188:48.73:-12.2229153:-76.9331494,4370536193:47.48:-12.2236628:-76.9327034"
1273492598,-12.2275931,-76.9347529,"1709508466:5.67:-12.2275674:-76.9347078,5436378303:52.92:-12.2278401:-76.9351692,1711900202:100.16:-12.2283783:-76.9343013"
1273492841,-12.2286848,-76.9245629,"1273632951:48.53:-12.2290653:-76.9243442,1710500055:54.22:-12.228264:-76.924815,5438599415:67.53:-12.2283706:-76.9240311"
1273493000,-12.2403288,-76.9159652,"1273732098:45.84:-12.2406854:-76.9157535,6300396155:69.52:-12.2406542:-76.9165115,1723341001:46.51:-12.2400952:-76.9156247"
1273495135,-12.1897385,-76.9392189,"1273508294:63.94:-12.1892407:-76.9395133,3717872009:62.48:-12.1900334:-76.9397082,4767940993:81.85:-12.1893522:-76.9385779"
1273498240,-12.1924103,-76.9427662,"1657677553:100.81:-12.191628:-76.943235,3749302090:49.75:-12.1927952:-76.9425328,5432464008:49.23:-12.1926353:-76.9431563"
1273498257,-12.2337447,-76.9397861,"1273598048:48.46:-12.2341203:-76.93956,1710920395:98.0:-12.2329849:-76.9402431,3762109477:49.38:-12.2335194:-76.9393945,3762109475:52.54:-12.2339844:-76.9402028"
1273500027,-12.2071551,-76.9448186,"4370478250:48.69:-12.2067779:-76.9450462,4149643660:49.14:-12.2075348:-76.9445872,5432479561:48.19:-12.2069347:-76.9444368"
1273500275,-12.2245471,-76.9254739,"4370536172:52.34:-12.224138:-76.9257121,1273781235:51.36:-12.2249486:-76.9252402,1405099251:189.36:-12.2236876:-76.9239697"
1273500890,-12.2411061,-76.9204013,"1712241091:45.19:-12.2408341:-76.9200923,1273746936:41.94:-12.2413557:-76.9206906,1712241086:88.29:-12.2405097:-76.9209377"
1273501033,-12.2271993,-76.9369259,"1711900157:30.91:-12.2269598:-76.9370702,6300406287:40.52:-12.2273861:-76.9372461"
1273503116,-12.1981073,-76.962878,"4494728751:56.67:-12.1986143:-76.9628245,1674228150:52.19:-12.1981675:-76.9633542,1674239442:51.98:-12.1976421:-76.9629252,1273654909:90.44:-12.1978335:-76.9620988"
1273503388,-12.2281519,-76.92839,"1273462827:50.21:-12.2283819:-76.9287876,1709508471:49.09:-12.227927:-76.9280013,5436396500:98.32:-12.2273875:-76.9288448"
1273503603,-12.2054887,-76.9381963,"1273595105:49.62:-12.2057131:-76.9385909,3749285418:7.54:-12.2054545:-76.9381364,1572825423:99.62:-12.2062616:-76.9377327"
1273508294,-12.1892407,-76.9395133,"1727313174:67.18:-12.1887177:-76.9398227,1273495135:63.94:-12.1897385:-76.9392189,1727313182:166.93:-12.1899985:-76.9408391"
1273508722,-12.2127663,-76.934353,"1663776820:50.55:-12.2125367:-76.9339515,1663776745:48.42:-12.2129862:-76.9347375,1663776778:98.69:-12.2135317:-76.9338932"
1273512426,-12.1918612,-76.9572971,"1674151621:50.44:-12.1916286:-76.9568987,4202201315:99.23:-12.1923186:-76.958081,1674151611:48.62:-12.1922396:-76.9570729"
1273513104,-12.2062497,-76.9497293,"1657677856:49.47:-12.2066335:-76.949499,5432485978:51.19:-12.2060123:-76.9493258,1273834097:50.72:-12.2058562:-76.9499654"
1273513910,-12.2017787,-76.942023,"5432485987:49.39:-12.2021608:-76.9417913,1273472091:50.09:-12.2013912:-76.942258,3895231068:50.47:-12.2020089:-76.9424232,5432485991:51.0:-12.201546:-76.9416186"
1273513926,-12.194179,-76.943833,"1273788401:49.87:-12.1945658:-76.9436007,1657677598:49.09:-12.1944023:-76.9442226,1273964568:50.44:-12.1937878:-76.944068"
1273514299,-12.2337092,-76.9203116,"1273649126:55.1:-12.2332819:-76.9205684,1273797768:81.72:-12.2340857:-76.9209574,1273737010:56.07:-12.2341449:-76.9200519"
